empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
13,9,e8577befa5165b22b8efd20965598772,40.7103685423523,-73.94705951213837,Leonard St & Maujer St,2022-12-05T01:39:36.236000Z,4,True,1670202197,"['creditcard', 'key']",True,1,1,24,3454
31,2,0e6e4ab270be66d466a9c92a25ee2c5b,40.774645,-73.923706,21 St & Hoyt Ave S,2022-12-05T01:39:35.346000Z,1,True,1670204321,"['creditcard', 'key']",True,1,1,33,3513
32,1,8f1dd5054688ae4a26aec411780ae2d5,40.7711528,-73.9170074,31 St & Hoyt Ave N,2022-12-05T01:39:35.348000Z,0,True,1670195613,"['creditcard', 'key']",True,1,1,35,3517
22,9,c05a894b939f7ebc1f999520707aed0a,40.7767,-73.927631,Astoria Park S & Shore Blvd,2022-12-05T01:39:35.351000Z,4,True,1670204149,"['creditcard', 'key']",True,1,1,33,3514
11,19,560ecd2ba03d9e261d4b9d4c8394c929,40.809725,-73.953149,St Nicholas Ave & Manhattan Ave,2022-12-05T01:39:36.920000Z,0,True,1670202760,"['creditcard', 'key']",True,1,1,31,3508
6,20,e886fd011f16b1c5bb33f2acb4e584e9,40.7376037,-74.0524783,Oakland Ave,2022-12-05T01:39:35.353000Z,13,True,1670194039,"['creditcard', 'key']",True,1,1,26,3207
6,20,f91821d395298c1654b5890bdcb79bec,40.7311689,-74.0575736,Hilltop,2022-12-05T01:39:35.354000Z,9,True,1670198269,"['creditcard', 'key']",True,1,1,26,3206
12,13,f6d5f0d1ca571465c335d6970de828f0,40.727595966,-74.044247311,Hamilton Park,2022-12-05T01:39:35.355000Z,6,True,1670203886,"['creditcard', 'key']",True,1,1,26,3203
9,8,3f07a543eef48fd465a0cbacb379de96,40.7272235,-74.0337589,Newport PATH,2022-12-05T01:39:35.356000Z,0,True,1670203332,"['creditcard', 'key']",True,1,1,18,3202
7,15,6fd339c9f7f92b83b2e02cbfb93dd089,40.7241765,-74.0506564,Brunswick St,2022-12-05T01:39:35.358000Z,4,True,1670202216,"['creditcard', 'key']",True,1,1,22,3209
