empty_slots,free_bikes,id,latitude,longitude,name_x,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid,lat_long,fsq_id,cat_id,category_name,categories,name_y,distance,longtitude,address,popularity,open_now,rating,rating_count,my_timestamp
24.0,3.0,f42e23b1d89191f08ff849055dd9d411,40.71745169,-73.95850939,N 6 St & Bedford Ave,2022-12-05T01:39:36.626000Z,1.0,True,1670204229.0,"['creditcard', 'key']",True,1.0,1.0,28.0,3093.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
4.0,34.0,c7479c9a2a0cc60e199bffe89ad2cbcc,40.71924,-73.95242,Union Ave & N 12 St,2022-12-05T01:39:36.627000Z,0.0,True,1670203239.0,"['creditcard', 'key']",True,1.0,1.0,39.0,3096.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
6.0,20.0,5f7338a7df326201bdb40c3a305e3fb6,40.71929301,-73.94500379,Graham Ave & Herbert St,2022-12-05T01:39:36.629000Z,2.0,True,1670203612.0,"['creditcard', 'key']",True,1.0,1.0,26.0,3095.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
14.0,10.0,8c3b74f9dc3ad4b96966efcf949bdfd7,40.68216564,-73.95399026,Hancock St & Bedford Ave,2022-12-05T01:39:35.681000Z,6.0,True,1670204147.0,"['creditcard', 'key']",True,1.0,1.0,27.0,436.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
22.0,1.0,4a1c8658155444641bdb4e418fa30794,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,2022-12-05T01:39:35.682000Z,1.0,True,1670202812.0,"['creditcard', 'key']",True,1.0,1.0,24.0,437.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
36.0,36.0,b514523a295a23616e434d2b7fcd308d,40.74173969,-73.99415556,W 21 St & 6 Ave,2022-12-05T01:39:35.684000Z,3.0,True,1670204348.0,"['creditcard', 'key']",True,1.0,1.0,74.0,435.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
1.0,15.0,7904c5b866ef0c09101e84fdda91e11c,40.70538,-73.92535,Irving Ave & Jefferson St,2022-12-05T01:39:35.539000Z,2.0,True,1670203120.0,"['creditcard', 'key']",True,1.0,1.0,19.0,3759.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
5.0,22.0,68d2b9e52ce081a319bdad2514ea2463,40.72903917,-73.99404649,Washington Pl & Broadway,2022-12-05T01:39:36.632000Z,7.0,True,1670203837.0,"['creditcard', 'key']",True,1.0,1.0,27.0,335.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
10.0,30.0,5f5b167751bfb54c354d9ca2a527f09e,40.74238787,-73.99726235,W 20 St & 7 Ave,2022-12-05T01:39:36.632000Z,5.0,True,1670204098.0,"['creditcard', 'key']",True,1.0,1.0,44.0,334.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2.0,25.0,506ef3941933df4d38b00a3ae3fae8f2,40.71173107,-73.99193043,Pike St & Monroe St,2022-12-05T01:39:36.634000Z,1.0,True,1670202790.0,"['creditcard', 'key']",True,1.0,1.0,27.0,331.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
15.0,26.0,b6d8f527e18cf6480eee00936e1b6e82,40.71450451,-74.00562789,Reade St & Broadway,2022-12-05T01:39:36.635000Z,1.0,True,1670203355.0,"['creditcard', 'key']",True,1.0,1.0,42.0,330.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
0.0,28.0,a350375466cc6ca0ebb140916c3a2257,40.71219906,-73.97948148,Cherry St,2022-12-05T01:39:36.636000Z,17.0,True,1670204154.0,"['creditcard', 'key']",True,1.0,1.0,36.0,332.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
4.0,24.0,c5ae12324e657ff1f5a2a702a573f56a,40.686371,-73.99383324,Warren St & Court St,2022-12-05T01:39:36.227000Z,0.0,True,1670197960.0,"['creditcard', 'key']",True,1.0,1.0,31.0,3298.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
23.0,1.0,b8235d3025c1626351d5291f4f5e14b3,40.78813,-73.95206,E 98 St & Park Ave,2022-12-05T01:39:36.228000Z,0.0,True,1670203493.0,"['creditcard', 'key']",True,1.0,1.0,25.0,3299.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
63.0,9.0,ebb1cf8510ded98f7e9ee8cf76a9ea28,40.782454175279874,-73.9489196240902,E 93 St & 2 Ave,2022-12-05T01:39:36.230000Z,1.0,True,1670203575.0,"['creditcard', 'key']",True,1.0,1.0,73.0,3296.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
31.0,9.0,41be925876fad3fdf5107322fcae7dd8,40.7857851,-73.957481,5 Ave & E 93 St,2022-12-05T01:39:36.232000Z,6.0,True,1670202941.0,"['creditcard', 'key']",True,1.0,1.0,43.0,3292.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
18.0,3.0,0bda8150467a951310434df139d9e32e,40.7921,-73.9739,W 92 St & Broadway,2022-12-05T01:39:36.233000Z,3.0,True,1670203992.0,"['creditcard', 'key']",True,1.0,1.0,24.0,3293.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
0.0,43.0,21a780d76029121d494a44fc546334e0,40.71915571696044,-73.94885390996933,Bayard St & Leonard St,2022-12-05T01:39:36.234000Z,5.0,True,1670200456.0,"['creditcard', 'key']",True,1.0,1.0,43.0,3452.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
9.0,10.0,1909fdefee61c79081ff155421ce2448,40.71335226222875,-73.9491033554077,Devoe St & Lorimer St,2022-12-05T01:39:36.235000Z,3.0,True,1670203588.0,"['creditcard', 'key']",True,1.0,1.0,19.0,3453.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
